execution_date,channel_id,channel_name,video_id,title,upload_date,duration_seconds,content_format,content_format_reason,views,likes,comments,views_delta,likes_delta,comments_delta,is_new_video,title_changed,description_changed,tags_changed,engagement_rate
2026-05-24T10:51:56.512810+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,QAkEMtJpq3c,"Hit The Button, Win $1,000",2026-05-15T16:00:10+00:00,22,shorts,duration_lte_60,314017956,2018982,59098,27565003,116656,1683,False,False,False,False,0.006617710740082647
2026-05-24T10:51:56.512810+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,SllXaJiQjBA,Every Youtube Play Button,2026-05-19T16:00:02+00:00,18,shorts,duration_lte_60,57553917,682960,18383,13958824,122077,1194,False,False,False,False,0.012185843059126627
2026-05-24T10:51:56.512810+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,dqpCvSU-ECE,If This Goes In You Have To Subscribe,2026-05-17T16:00:00+00:00,13,shorts,duration_lte_60,63079399,667921,13445,12147388,85011,509,False,False,False,False,0.010801719908586953
2026-05-24T10:51:56.512810+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,hYahU_Cqwp8,Subscribe To See 500M Play Button,2026-05-22T16:00:04+00:00,33,shorts,duration_lte_60,21626327,575375,12703,10722816,187718,2671,False,False,False,False,0.027192689724889484
2026-05-24T10:51:56.512810+00:00,UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,iB_GeSHg5U0,Nastya and DIY beauty salon with Friends,2026-05-23T07:00:17+00:00,2701,videos,duration_gt_180,10933942,7822,0,9781268,6386,0,False,False,False,False,0.0007153870031503734
2026-05-24T10:51:56.512810+00:00,UCK8sQmJBp8GCxrOtXWBpyEA,Google,uW4B6ziQqvY,What is Gemini Omni?,2026-05-19T19:12:49+00:00,65,shorts,duration_lte_180_after_cutoff_with_shorts_marker,24500109,2512,237,8325091,192,13,False,False,False,False,0.00011220358244120465
2026-05-24T10:51:56.512810+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,hCuqh2NU2Yg,World's Fastest Date,2026-05-12T16:00:07+00:00,32,shorts,duration_lte_60,115433091,2253639,15265,5758405,66671,190,False,False,False,False,0.0196555769263772
2026-05-24T10:51:56.512810+00:00,UCWsDFcIhY2DBi3GB5uykGXA,IShowSpeed,bpi1C_2a-tk,"EAT THE WORLD's BIGGEST BURGER, OR GET SPANKED 💥 💥",2026-05-22T19:00:19+00:00,47,shorts,duration_lte_60,6388754,302270,4133,3842455,147072,1669,False,False,True,False,0.047959743010922005
2026-05-24T10:51:56.512810+00:00,UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,nkEBZ_Irvek,Im Gonna Shine - Like Nastya song,2026-05-14T09:01:07+00:00,190,videos,duration_gt_180,12951552,32077,0,3518587,2836,0,False,False,False,False,0.00247669159649747
2026-05-24T10:51:56.512810+00:00,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,DZ9lpup4VZ0,Dragon Glimpse - Hindi | NTR | Anil Kapoor | Rukmini Vasanth | Ravi Basrur | Prashanth Neel,2026-05-19T17:56:42+00:00,269,videos,duration_gt_180,22223840,286831,11016,2601705,7097,210,False,False,False,False,0.013402139324257194
2026-05-24T10:51:56.512810+00:00,UCGmnsW623G1r-Chmo5RB4Yw,KSI,A_TI_Wct288,"$1 vs $50,000 Katana",2026-05-15T16:32:49+00:00,34,shorts,duration_lte_60,71912875,1278685,4226,2563574,39463,107,False,False,False,False,0.01783979572503533
