execution_date,video_id,views_delta,likes_delta,comments_delta,previous_views,current_views,previous_likes,current_likes,previous_comments,current_comments,is_new_video,title_changed,description_changed,tags_changed
2026-05-24T10:51:56.512810+00:00,3W1KfxQnQiU,43,1,0,14562,14605,853,854,40,40,False,False,False,False
2026-05-24T10:51:56.512810+00:00,VKaslzzv1QM,205,2,0,108001,108206,3542,3544,212,212,False,False,False,False
2026-05-24T10:51:56.512810+00:00,E6IrH04B8wg,0,0,0,6557,6557,94,94,9,9,False,False,False,False
2026-05-24T10:51:56.512810+00:00,SYdW3cZKdmY,0,0,0,13045,13045,303,303,10,10,False,False,False,False
2026-05-24T10:51:56.512810+00:00,TSAh8dzN0cw,0,0,0,10840,10840,246,246,3,3,False,False,False,False
2026-05-24T10:51:56.512810+00:00,DHk0gFHyHeE,61,2,0,154065,154126,4699,4701,367,367,False,False,False,False
2026-05-24T10:51:56.512810+00:00,QSe13hyv68o,0,0,0,33898,33898,510,510,18,18,False,False,False,False
2026-05-24T10:51:56.512810+00:00,PZ2yduZysf0,0,0,0,5989,5989,169,169,7,7,False,False,False,False
2026-05-24T10:51:56.512810+00:00,Rdfd1KAX6NU,1,0,0,7598,7599,262,262,5,5,False,False,False,False
2026-05-24T10:51:56.512810+00:00,uAOfsghz2NY,0,0,0,28558,28558,231,231,12,12,False,False,False,False
2026-05-24T10:51:56.512810+00:00,qCFEWA_Nu3k,0,0,0,25281,25281,481,481,9,9,False,False,False,False
2026-05-24T10:51:56.512810+00:00,aNfOwttNQcg,0,0,0,4504,4504,115,115,2,2,False,False,False,False
2026-05-24T10:51:56.512810+00:00,Xq-4lUaLIp8,0,0,0,7699,7699,186,186,4,4,False,False,False,False
2026-05-24T10:51:56.512810+00:00,ZB9IMq0ee0k,12,2,0,67033,67045,2925,2927,177,177,False,False,False,False
2026-05-24T10:51:56.512810+00:00,Lw3RJgDjXh0,0,0,0,7326,7326,171,171,1,1,False,False,False,False
2026-05-24T10:51:56.512810+00:00,PiKd0maLI6o,0,0,0,10513,10513,613,613,8,8,False,False,False,False
2026-05-24T10:51:56.512810+00:00,mTqDtRTKvqE,1,0,0,6451,6452,221,221,17,17,False,False,False,False
2026-05-24T10:51:56.512810+00:00,BwIlVEvq7mU,0,0,0,6973,6973,143,143,8,8,False,False,False,False
2026-05-24T10:51:56.512810+00:00,lrl7lslhv2s,0,0,0,8708,8708,300,300,3,3,False,False,False,False
2026-05-24T10:51:56.512810+00:00,BPt0fwBCDbQ,0,0,0,379889,379889,4486,4486,112,112,False,False,False,False
