execution_date,channel_id,channel_name,video_id,title,upload_date,duration_seconds,content_format,content_format_reason,views,likes,comments,views_delta,likes_delta,comments_delta,is_new_video,title_changed,description_changed,tags_changed,engagement_rate
2026-05-18T02:10:49.522964+00:00,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,gNwzZxHjEOs,I Tried Anti-Scream Devices,2026-05-15T17:15:08+00:00,60,shorts,duration_lte_60,7201500,322977,2403,1659210,72085,392,False,False,False,False,0.04518225369714643
2026-05-18T02:10:49.522964+00:00,UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,NnvIwG0S8WE,Tennis Ball Cannon vs Human Strength,2026-05-14T13:00:44+00:00,30,shorts,duration_lte_60,12889929,237143,310,835616,12542,20,False,False,False,False,0.018421590995574916
2026-05-18T02:10:49.522964+00:00,UC415bOPUcGSamy543abLmRA,Cleo Abram,Qqwn4rzZ-Dk,Is There Life on Venus?,2026-05-15T14:38:47+00:00,55,shorts,duration_lte_60,5101034,194104,1698,738441,27826,206,False,False,False,False,0.038384766696320786
2026-05-18T02:10:49.522964+00:00,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,BTJGr78-zyw,"Professor Jiang: World War 3 Is About To Begin, Let Me Explain!",2026-05-07T07:00:08+00:00,7870,videos,duration_gt_180,9585073,279376,40927,573027,17589,2544,False,False,False,False,0.03341685556281105
2026-05-18T02:10:49.522964+00:00,UC415bOPUcGSamy543abLmRA,Cleo Abram,pag8Ncc7AwQ,What’s Really Inside The Earth?,2026-05-13T15:00:14+00:00,49,shorts,duration_lte_60,5421687,191047,958,563206,14631,79,False,False,False,False,0.03541425390289037
2026-05-18T02:10:49.522964+00:00,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,OlAIrZ6Wbg0,I am unemployed,2026-05-16T12:21:00+00:00,18,shorts,duration_lte_60,1930363,49506,337,539414,9992,53,False,False,False,False,0.025820532200420337
2026-05-18T02:10:49.522964+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,NbcOjP9Cm0I,Financial Audit Guest Demands Money From Me,2026-05-16T22:00:21+00:00,51,shorts,duration_lte_60,969660,37619,864,504698,19870,456,False,False,False,False,0.039687106820947546
2026-05-18T02:10:49.522964+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,oGTO67JoZDQ,I Hired a Hood Translator For Financial Audit,2026-05-15T22:00:51+00:00,36,shorts,duration_lte_60,2268582,109000,1006,494607,21156,145,False,False,False,False,0.04849108385766968
2026-05-18T02:10:49.522964+00:00,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,zXvygWE3Ess,How Alpha Particles Can Break Computer Chips,2026-05-15T13:01:53+00:00,127,videos,three_minute_candidate_without_shorts_marker,2005128,65522,1023,409987,11181,215,False,False,False,False,0.033187407487202815
2026-05-18T02:10:49.522964+00:00,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,-wOQ2QVol0U,Animals That Killed Their Owners,2026-05-15T19:15:00+00:00,52,shorts,duration_lte_60,3406862,134860,2068,394522,13676,182,False,False,False,False,0.04019182461749258
2026-05-18T02:10:49.522964+00:00,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,ksn5yrsC3Wg,The Crystal That Could Destroy All Medicine,2026-04-29T20:30:53+00:00,2005,videos,duration_gt_180,6954572,192508,11365,373200,5936,414,False,False,False,False,0.029314960000414118
2026-05-18T02:10:49.522964+00:00,UC415bOPUcGSamy543abLmRA,Cleo Abram,Gab74WWEIZQ,How Far Away The Moon REALLY Is,2026-05-12T14:51:33+00:00,65,shorts,duration_lte_180_after_cutoff_with_shorts_marker,3652391,152948,1365,354163,10471,86,False,False,False,False,0.04224985769595862
2026-05-18T02:10:49.522964+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,mkYeITacS2A,Grown Man Spends 12 Hours On ROBLOX,2026-05-13T01:00:42+00:00,37,shorts,duration_lte_60,2991985,86872,2932,310062,8051,298,False,False,False,False,0.030014856357902863
2026-05-18T02:10:49.522964+00:00,UC415bOPUcGSamy543abLmRA,Cleo Abram,xxbkGphvnhY,How Big is the Biggest Volcano?,2026-05-16T15:53:10+00:00,70,shorts,duration_lte_180_after_cutoff_with_shorts_marker,1461682,56790,621,251771,8204,83,False,True,False,False,0.039277353076797826
2026-05-18T02:10:49.522964+00:00,UC415bOPUcGSamy543abLmRA,Cleo Abram,XfGEMCb6BQU,What's Hidden Under Antarctica?,2026-05-09T13:04:27+00:00,1129,videos,duration_gt_180,4345831,135318,4820,215852,2838,-236,False,False,False,False,0.0322465369684187
2026-05-18T02:10:49.522964+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,L8BkLkDtThU,The Saddest Moment in Financial Audit History,2026-05-13T22:00:18+00:00,55,shorts,duration_lte_60,3683599,144885,2422,207124,7460,144,False,False,False,False,0.03998996633455487
2026-05-18T02:10:49.522964+00:00,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,cEKgavUh3Wo,Fictional Characters Based On Real People,2026-05-16T19:15:04+00:00,54,shorts,duration_lte_60,679075,30740,346,204983,7374,61,False,False,False,False,0.045776976033575084
2026-05-18T02:10:49.522964+00:00,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,V-z0k5xu1hM,UFO Roundtable: CIA Physicist Proves Aliens Exist!,2026-05-14T07:00:23+00:00,5227,videos,duration_gt_180,2917350,90431,17872,193060,5122,776,False,False,False,False,0.03712375957632783
2026-05-18T02:10:49.522964+00:00,UCNYW2vfGrUE6R5mIJYzkRyQ,DrossRotzank,kCEg-LGz1K4,TOP: Los 7 monstruos que han existido en la DARK WEB,2026-05-16T16:01:05+00:00,1332,videos,duration_gt_180,654711,40523,2268,190898,9450,393,False,False,False,False,0.06535860860746191
2026-05-18T02:10:49.522964+00:00,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,tJH_gXK_WBM,Memory Loss,2026-05-12T09:52:01+00:00,16,shorts,duration_lte_60,1886025,63378,475,168655,4704,36,False,False,False,False,0.033855860871409446
2026-05-18T02:10:49.522964+00:00,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,QPWScf-86po,I Made Mascots For Stores That Don’t Have Them,2026-04-30T17:15:02+00:00,57,shorts,duration_lte_60,8039850,225470,3119,160832,2162,60,False,False,False,False,0.028431998109417465
2026-05-18T02:10:49.522964+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,mS13Z_za4t0,"Streamer Is Ignoring $20,000 Worth of DEBT",2026-05-16T16:01:08+00:00,53,shorts,duration_lte_60,365207,12207,154,153102,5345,71,False,False,False,False,0.03384655825326459
2026-05-18T02:10:49.522964+00:00,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,o6V2_tvL-CE,NEVER SAY THESE 4 WORDS!,2026-05-12T18:00:42+00:00,66,videos,three_minute_candidate_without_shorts_marker,834837,25554,685,146657,4646,107,False,False,False,False,0.031430087550024736
2026-05-18T02:10:49.522964+00:00,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,ImG1BgHsqHk,Movie Scenes That Led To Lawsuits,2026-05-11T19:15:01+00:00,58,shorts,duration_lte_60,1885799,85710,463,146651,4032,16,False,False,False,False,0.045695750183344035
2026-05-18T02:10:49.522964+00:00,UC415bOPUcGSamy543abLmRA,Cleo Abram,TIqrd6dCa8o,Dark Energy Is Getting Weaker?,2026-05-06T14:50:20+00:00,70,videos,three_minute_candidate_without_shorts_marker,5331811,258158,3330,140560,5309,61,False,False,False,False,0.04904299871094456
2026-05-18T02:10:49.522964+00:00,UCDfbsXLRCyk_LIkrtaTmliQ,PlanetaJuan,rvVGTI7PFUQ,24 Horas en la ciudad Más Peligrosa del mundo 🇭🇹,2026-05-10T14:01:17+00:00,1760,videos,duration_gt_180,2067024,60050,4238,129881,2357,163,False,False,False,False,0.031101719186618054
2026-05-18T02:10:49.522964+00:00,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,6OR4h0-HvvU,INFINITE QUEENS. Can Jynxzi Win?,2026-05-16T19:16:02+00:00,2021,videos,duration_gt_180,351800,13540,817,121618,3294,168,False,False,False,False,0.04081011938601478
