process_id,name,domain,process_type,cadence,dashboard_tab,impact_type,status,last_run_at,is_stale
github_ci,CI,github,github_workflow,push_or_pull_request,Operations,observability,unknown,,False
github_monitor,YouTube Monitor,github,github_workflow,daily,Overview,workflow,success_with_warnings,2026-05-15T11:31:41.521427+00:00,False
github_monitor,YouTube Monitor,github,github_workflow,daily,Videos,workflow,success_with_warnings,2026-05-15T11:31:41.521427+00:00,False
github_monitor,YouTube Monitor,github,github_workflow,daily,Channels,workflow,success_with_warnings,2026-05-15T11:31:41.521427+00:00,False
github_monitor,YouTube Monitor,github,github_workflow,daily,Scores,workflow,success_with_warnings,2026-05-15T11:31:41.521427+00:00,False
github_monitor,YouTube Monitor,github,github_workflow,daily,Advanced,workflow,success_with_warnings,2026-05-15T11:31:41.521427+00:00,False
github_monitor,YouTube Monitor,github,github_workflow,daily,Titles,workflow,success_with_warnings,2026-05-15T11:31:41.521427+00:00,False
github_monitor,YouTube Monitor,github,github_workflow,daily,Periods,workflow,success_with_warnings,2026-05-15T11:31:41.521427+00:00,False
github_monitor,YouTube Monitor,github,github_workflow,daily,Alerts,workflow,success_with_warnings,2026-05-15T11:31:41.521427+00:00,False
github_monitor,YouTube Monitor,github,github_workflow,daily,Data Quality,workflow,success_with_warnings,2026-05-15T11:31:41.521427+00:00,False
github_monitor,YouTube Monitor,github,github_workflow,daily,Operations,observability,success_with_warnings,2026-05-15T11:31:41.521427+00:00,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Overview,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Videos,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Channels,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Scores,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Advanced,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Titles,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Periods,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Alerts,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Data Quality,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Models,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Topics,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,NLP,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Content Drivers,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Creative,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Brief,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Operations,observability,not_initialized,,False
github_train_model,Train Model Suite,github,github_workflow,twice_weekly,Models,workflow,success,2026-05-14T12:12:56.418071+00:00,False
github_train_model,Train Model Suite,github,github_workflow,twice_weekly,Content Drivers,workflow,success,2026-05-14T12:12:56.418071+00:00,False
github_train_model,Train Model Suite,github,github_workflow,twice_weekly,Operations,observability,success,2026-05-14T12:12:56.418071+00:00,False
github_predict_model,Predict With Model Artifact,github,github_workflow,after_model_training,Models,workflow,success,2026-05-14T12:13:46.020616+00:00,False
github_predict_model,Predict With Model Artifact,github,github_workflow,after_model_training,Operations,observability,success,2026-05-14T12:13:46.020616+00:00,False
cli_run,Daily YouTube pipeline,ingestion,cli,daily,Overview,data_source,success_with_warnings,2026-05-15T11:31:41.521427+00:00,False
cli_run,Daily YouTube pipeline,ingestion,cli,daily,Videos,data_source,success_with_warnings,2026-05-15T11:31:41.521427+00:00,False
cli_run,Daily YouTube pipeline,ingestion,cli,daily,Channels,data_source,success_with_warnings,2026-05-15T11:31:41.521427+00:00,False
cli_run,Daily YouTube pipeline,ingestion,cli,daily,Scores,data_source,success_with_warnings,2026-05-15T11:31:41.521427+00:00,False
cli_run,Daily YouTube pipeline,ingestion,cli,daily,Advanced,data_source,success_with_warnings,2026-05-15T11:31:41.521427+00:00,False
cli_run,Daily YouTube pipeline,ingestion,cli,daily,Titles,data_source,success_with_warnings,2026-05-15T11:31:41.521427+00:00,False
cli_run,Daily YouTube pipeline,ingestion,cli,daily,Periods,data_source,success_with_warnings,2026-05-15T11:31:41.521427+00:00,False
cli_run,Daily YouTube pipeline,ingestion,cli,daily,Alerts,data_source,success_with_warnings,2026-05-15T11:31:41.521427+00:00,False
cli_run,Daily YouTube pipeline,ingestion,cli,daily,Data Quality,data_source,success_with_warnings,2026-05-15T11:31:41.521427+00:00,False
cli_run,Daily YouTube pipeline,ingestion,cli,daily,Operations,observability,success_with_warnings,2026-05-15T11:31:41.521427+00:00,False
cli_dry_run,Quota dry run,ingestion,cli,before_monitor_run,Operations,observability,unknown,,False
cli_validate_latest,Validate latest run,validation,cli,after_monitor_run,Data Quality,data_source,unknown,,False
cli_validate_latest,Validate latest run,validation,cli,after_monitor_run,Operations,observability,unknown,,False
cli_export_latest,Export latest run,analytics,cli,after_monitor_run,Overview,data_source,success,2026-05-15T11:33:12.722700+00:00,False
cli_export_latest,Export latest run,analytics,cli,after_monitor_run,Videos,data_source,success,2026-05-15T11:33:12.722700+00:00,False
cli_export_latest,Export latest run,analytics,cli,after_monitor_run,Channels,data_source,success,2026-05-15T11:33:12.722700+00:00,False
cli_export_latest,Export latest run,analytics,cli,after_monitor_run,Periods,data_source,success,2026-05-15T11:33:12.722700+00:00,False
cli_export_latest,Export latest run,analytics,cli,after_monitor_run,Operations,observability,success,2026-05-15T11:33:12.722700+00:00,False
cli_build_analytics,Build analytics data mart,analytics,cli,after_export,Overview,data_source,success,2026-05-15T11:33:16.450707+00:00,False
cli_build_analytics,Build analytics data mart,analytics,cli,after_export,Videos,data_source,success,2026-05-15T11:33:16.450707+00:00,False
cli_build_analytics,Build analytics data mart,analytics,cli,after_export,Channels,data_source,success,2026-05-15T11:33:16.450707+00:00,False
cli_build_analytics,Build analytics data mart,analytics,cli,after_export,Scores,data_source,success,2026-05-15T11:33:16.450707+00:00,False
cli_build_analytics,Build analytics data mart,analytics,cli,after_export,Advanced,data_source,success,2026-05-15T11:33:16.450707+00:00,False
cli_build_analytics,Build analytics data mart,analytics,cli,after_export,Titles,data_source,success,2026-05-15T11:33:16.450707+00:00,False
cli_build_analytics,Build analytics data mart,analytics,cli,after_export,Periods,data_source,success,2026-05-15T11:33:16.450707+00:00,False
cli_build_analytics,Build analytics data mart,analytics,cli,after_export,Data Quality,data_source,success,2026-05-15T11:33:16.450707+00:00,False
cli_build_analytics,Build analytics data mart,analytics,cli,after_export,Operations,observability,success,2026-05-15T11:33:16.450707+00:00,False
cli_build_nlp_features,Build NLP feature layer,intelligence,cli,after_analytics,NLP,derived_signal,success_with_warnings,2026-05-15T11:33:18.973102+00:00,False
cli_build_nlp_features,Build NLP feature layer,intelligence,cli,after_analytics,Topics,derived_signal,success_with_warnings,2026-05-15T11:33:18.973102+00:00,False
